,ECOSYSTEME,ETUDES ECO SYSTEME,Programme de résilience des asoociations des victimes,"Renforcement des capacités ( JT, droits humains, droits des victimes, gestion, éducation financière, etc.) des associations des victimes pour renforcer système de gestion des AVEC et MUSO dans les territoires des provinces déjà identifiés en tout ou en partie",Formation technique et financiere,EO,1,2,01,EO.1.2.01,"ETUDES ECO SYSTEME _ Programme de résilience des asoociations des victimes _ Renforcement des capacités ( JT, droits humains, droits des victimes, gestion, éducation financière, etc.) des associations des victimes pour renforcer système de gestion des AVEC et MUSO dans les territoires des provinces déjà identifiés en tout ou en partie _ Formation technique et financiere",EO12,"ETUDES ECO SYSTEME  _  Programme de résilience des asoociations des victimes _  Renforcement des capacités ( JT, droits humains, droits des victimes, gestion, éducation financière, etc.) des associations des victimes pour renforcer système de gestion des AVEC et MUSO dans les territoires des provinces déjà identifiés en tout ou en partie",,,,,,,,,,,,,,,,,,,ETUDES ECO SYSTEME1,,
,ECOSYSTEME,ETUDES ECO SYSTEME,Programme de résilience des asoociations des victimes,Octroi de Subvention des mutuels de solidarité et AVEC par consortium,Subvention des associqtions des victimes / Appel à Projet,EO,1,3,01,EO.1.3.01,ETUDES ECO SYSTEME _ Programme de résilience des asoociations des victimes _ Octroi de Subvention des mutuels de solidarité et AVEC par consortium _ Subvention des associqtions des victimes / Appel à Projet,EO13,ETUDES ECO SYSTEME  _  Programme de résilience des asoociations des victimes _  Octroi de Subvention des mutuels de solidarité et AVEC par consortium,,,,,,,,,,,,,,,,,,,ETUDES ECO SYSTEME1,,
,ECOSYSTEME,ETUDES ECO SYSTEME,Programme de résilience des asoociations des victimes,Octroi de Subvention des mutuels de solidarité et AVEC par consortium,Subvention des associqtions des victimes / Subvention,EO,1,3,02,EO.1.3.02,ETUDES ECO SYSTEME _ Programme de résilience des asoociations des victimes _ Octroi de Subvention des mutuels de solidarité et AVEC par consortium _ Subvention des associqtions des victimes / Subvention,EO13,ETUDES ECO SYSTEME  _  Programme de résilience des asoociations des victimes _  Octroi de Subvention des mutuels de solidarité et AVEC par consortium,,,,,,,,,,,,,,,,,,,ETUDES ECO SYSTEME1,,
,ECOSYSTEME,ETUDES ECO SYSTEME,Programme de résilience des asoociations des victimes,Octroi de Subvention des mutuels de solidarité et AVEC par consortium,Subvention des associqtions des victimes / Encadrement des associations d'aide aux victimes par une association d'aide aux victimes (incubateur territorial),EO,1,3,03,EO.1.3.03,ETUDES ECO SYSTEME _ Programme de résilience des asoociations des victimes _ Octroi de Subvention des mutuels de solidarité et AVEC par consortium _ Subvention des associqtions des victimes / Encadrement des associations d'aide aux victimes par une association d'aide aux victimes (incubateur territorial),EO13,ETUDES ECO SYSTEME  _  Programme de résilience des asoociations des victimes _  Octroi de Subvention des mutuels de solidarité et AVEC par consortium,,,,,,,,,,,,,,,,,,,ETUDES ECO SYSTEME1,,
,ECOSYSTEME,ETUDES ECO SYSTEME,Programme de résilience des asoociations des victimes,Construction des infrastructures de résilience des associations des victimes,Construction d'infrastructures (HUB) / Acquisition des terrains,EO,1,4,01,EO.1.4.01,ETUDES ECO SYSTEME _ Programme de résilience des asoociations des victimes _ Construction des infrastructures de résilience des associations des victimes _ Construction d'infrastructures (HUB) / Acquisition des terrains,EO14,ETUDES ECO SYSTEME  _  Programme de résilience des asoociations des victimes _  Construction des infrastructures de résilience des associations des victimes,,,,,,,,,,,,,,,,,,,ETUDES ECO SYSTEME1,,
,ECOSYSTEME,ETUDES ECO SYSTEME,Programme de résilience des asoociations des victimes,Construction des infrastructures de résilience des associations des victimes,Construction d'infrastructures (HUB) / Recrutement du partenaire et finalisation du projet archtectural,EO,1,4,02,EO.1.4.02,ETUDES ECO SYSTEME _ Programme de résilience des asoociations des victimes _ Construction des infrastructures de résilience des associations des victimes _ Construction d'infrastructures (HUB) / Recrutement du partenaire et finalisation du projet archtectural,EO14,ETUDES ECO SYSTEME  _  Programme de résilience des asoociations des victimes _  Construction des infrastructures de résilience des associations des victimes,,,,,,,,,,,,,,,,,,,ETUDES ECO SYSTEME1,,
,ECOSYSTEME,ETUDES ECO SYSTEME,Programme de résilience des asoociations des victimes,Construction des infrastructures de résilience des associations des victimes,Construction d'infrastructures (HUB) / Etude de faisabilite (15%),EO,1,4,03,EO.1.4.03,ETUDES ECO SYSTEME _ Programme de résilience des asoociations des victimes _ Construction des infrastructures de résilience des associations des victimes _ Construction d'infrastructures (HUB) / Etude de faisabilite (15%),EO14,ETUDES ECO SYSTEME  _  Programme de résilience des asoociations des victimes _  Construction des infrastructures de résilience des associations des victimes,,,,,,,,,,,,,,,,,,,ETUDES ECO SYSTEME1,,
,ECOSYSTEME,ETUDES ECO SYSTEME,Programme de résilience des asoociations des victimes,Construction des infrastructures de résilience des associations des victimes,Construction d'infrastructures (HUB) / Equipement en machine de transformation et de conservation,EO,1,4,04,EO.1.4.04,ETUDES ECO SYSTEME _ Programme de résilience des asoociations des victimes _ Construction des infrastructures de résilience des associations des victimes _ Construction d'infrastructures (HUB) / Equipement en machine de transformation et de conservation,EO14,ETUDES ECO SYSTEME  _  Programme de résilience des asoociations des victimes _  Construction des infrastructures de résilience des associations des victimes,,,,,,,,,,,,,,,,,,,ETUDES ECO SYSTEME1,,
,ECOSYSTEME,ETUDES ECO SYSTEME,Programme de résilience des asoociations des victimes,Construction des infrastructures de résilience des associations des victimes,Construction d'infrastructures (HUB) / Fonctionnement incubateur de transformation,EO,1,4,05,EO.1.4.05,ETUDES ECO SYSTEME _ Programme de résilience des asoociations des victimes _ Construction des infrastructures de résilience des associations des victimes _ Construction d'infrastructures (HUB) / Fonctionnement incubateur de transformation,EO14,ETUDES ECO SYSTEME  _  Programme de résilience des asoociations des victimes _  Construction des infrastructures de résilience des associations des victimes,,,,,,,,,,,,,,,,,,,ETUDES ECO SYSTEME1,,
,ECOSYSTEME,ETUDES ECO SYSTEME,Programme de résilience des asoociations des victimes,Reseautage,Recrutement d'un incubateur pour la transformation,EO,1,5,01,EO.1.5.01,ETUDES ECO SYSTEME _ Programme de résilience des asoociations des victimes _ Reseautage _ Recrutement d'un incubateur pour la transformation,EO15,ETUDES ECO SYSTEME  _  Programme de résilience des asoociations des victimes _  Reseautage,,,,,,,,,,,,,,,,,,,ETUDES ECO SYSTEME1,,
,ECOSYSTEME,ETUDES ECO SYSTEME,Programme de résilience des asoociations des victimes,Reseautage,Rencontre avec les operateurs économiques,EO,1,5,02,EO.1.5.02,ETUDES ECO SYSTEME _ Programme de résilience des asoociations des victimes _ Reseautage _ Rencontre avec les operateurs économiques,EO15,ETUDES ECO SYSTEME  _  Programme de résilience des asoociations des victimes _  Reseautage,,,,,,,,,,,,,,,,,,,ETUDES ECO SYSTEME1,,
,ECOSYSTEME,ETUDES ECO SYSTEME,Programme de résilience des asoociations des victimes,Reseautage,Mise en place du circuit de distribution,EO,1,5,03,EO.1.5.03,ETUDES ECO SYSTEME _ Programme de résilience des asoociations des victimes _ Reseautage _ Mise en place du circuit de distribution,EO15,ETUDES ECO SYSTEME  _  Programme de résilience des asoociations des victimes _  Reseautage,,,,,,,,,,,,,,,,,,,ETUDES ECO SYSTEME1,,
,ECOSYSTEME,ETUDES ECO SYSTEME,Programme de résilience des asoociations des victimes,Reseautage,Circuit de normalisation,EO,1,5,04,EO.1.5.04,ETUDES ECO SYSTEME _ Programme de résilience des asoociations des victimes _ Reseautage _ Circuit de normalisation,EO15,ETUDES ECO SYSTEME  _  Programme de résilience des asoociations des victimes _  Reseautage,,,,,,,,,,,,,,,,,,,ETUDES ECO SYSTEME1,,
,ECOSYSTEME,ETUDES ECO SYSTEME,Programme de résilience des asoociations des victimes,Reseautage,Constitution de l'epargne collective (CEC),EO,1,5,05,EO.1.5.05,ETUDES ECO SYSTEME _ Programme de résilience des asoociations des victimes _ Reseautage _ Constitution de l'epargne collective (CEC),EO15,ETUDES ECO SYSTEME  _  Programme de résilience des asoociations des victimes _  Reseautage,,,,,,,,,,,,,,,,,,,ETUDES ECO SYSTEME1,,
,Dépenses de personnel,ACCES A LA JUSTICE,Renumeration,Renumeration,Renumeration,AJ,0,0,01,AJ.0.0.01,ACCES A LA JUSTICE _ Renumeration _ Renumeration _ Renumeration,AJ00,ACCES A LA JUSTICE  _  Renumeration _  Renumeration,,,,,,,,,,,,,,,,,,,ACCES A LA JUSTICE0,,
,Dépenses opérationnelles,ACCES A LA JUSTICE,Accès au droit - renforcement des capacites des acteurs de la chaine pénale et ecosystème,"Organisation des formations des magistrats et auxiliaires de justice (avocats, greffiers, huissiers, notaires, experts judiciaires, interprètes, etc.)","Organisation des formations des magistrats et auxiliaires de justice (avocats, greffiers, huissiers, notaires, experts judiciaires, interprètes, etc.)",AJ,1,1,01,AJ.1.1.01,"ACCES A LA JUSTICE _ Accès au droit - renforcement des capacites des acteurs de la chaine pénale et ecosystème _ Organisation des formations des magistrats et auxiliaires de justice (avocats, greffiers, huissiers, notaires, experts judiciaires, interprètes, etc.) _ Organisation des formations des magistrats et auxiliaires de justice (avocats, greffiers, huissiers, notaires, experts judiciaires, interprètes, etc.)",AJ11,"ACCES A LA JUSTICE  _  Accès au droit - renforcement des capacites des acteurs de la chaine pénale et ecosystème _  Organisation des formations des magistrats et auxiliaires de justice (avocats, greffiers, huissiers, notaires, experts judiciaires, interprètes, etc.)",,,,,,,,,,,,,,,,,,,ACCES A LA JUSTICE1,,
,Dépenses opérationnelles,ACCES A LA JUSTICE,Accès au droit - renforcement des capacites des acteurs de la chaine pénale et ecosystème,Organisation des formations des  formations des Officiers de Police Judiciaire (OPJ),"Organisation des formations des Officiers de Police Judiciaire (OPJ)
",AJ,1,2,01,AJ.1.2.01,"ACCES A LA JUSTICE _ Accès au droit - renforcement des capacites des acteurs de la chaine pénale et ecosystème _ Organisation des formations des  formations des Officiers de Police Judiciaire (OPJ) _ Organisation des formations des Officiers de Police Judiciaire (OPJ)
",AJ12,ACCES A LA JUSTICE  _  Accès au droit - renforcement des capacites des acteurs de la chaine pénale et ecosystème _  Organisation des formations des  formations des Officiers de Police Judiciaire (OPJ),,,,,,,,,,,,,,,,,,,ACCES A LA JUSTICE1,,
,Dépenses opérationnelles,ACCES A LA JUSTICE,Accès au droit - renforcement des capacites des acteurs de la chaine pénale et ecosystème,Organisation des formations de l ecosysteme,Formation des agents d’appui,AJ,1,3,01,AJ.1.3.01,ACCES A LA JUSTICE _ Accès au droit - renforcement des capacites des acteurs de la chaine pénale et ecosystème _ Organisation des formations de l ecosysteme _ Formation des agents d’appui,AJ13,ACCES A LA JUSTICE  _  Accès au droit - renforcement des capacites des acteurs de la chaine pénale et ecosystème _  Organisation des formations de l ecosysteme,,,,,,,,,,,,,,,,,,,ACCES A LA JUSTICE1,,
,Dépenses opérationnelles,ACCES A LA JUSTICE,Accès à la Justice - accompagnement judiciaire des victimes,Constitution des dossiers de justice,"Entretien, enregistrement et collecte des éléments de preuve des victimes",AJ,2,1,01,AJ.2.1.01,"ACCES A LA JUSTICE _ Accès à la Justice - accompagnement judiciaire des victimes _ Constitution des dossiers de justice _ Entretien, enregistrement et collecte des éléments de preuve des victimes",AJ21,ACCES A LA JUSTICE  _  Accès à la Justice - accompagnement judiciaire des victimes _  Constitution des dossiers de justice,,,,,,,,,,,,,,,,,,,ACCES A LA JUSTICE2,,
,Dépenses opérationnelles,ACCES A LA JUSTICE,Accès à la Justice - accompagnement judiciaire des victimes,Constitution des dossiers de justice,Relecture et analyse des dossiers,AJ,2,1,02,AJ.2.1.02,ACCES A LA JUSTICE _ Accès à la Justice - accompagnement judiciaire des victimes _ Constitution des dossiers de justice _ Relecture et analyse des dossiers,AJ21,ACCES A LA JUSTICE  _  Accès à la Justice - accompagnement judiciaire des victimes _  Constitution des dossiers de justice,,,,,,,,,,,,,,,,,,,ACCES A LA JUSTICE2,,
,Dépenses opérationnelles,ACCES A LA JUSTICE,Accès à la Justice - accompagnement judiciaire des victimes,Appui aux enquetes Prejuridictionnelles,Appui technique et logistique aux OPJ et magistrats,AJ,2,2,01,AJ.2.2.01,ACCES A LA JUSTICE _ Accès à la Justice - accompagnement judiciaire des victimes _ Appui aux enquetes Prejuridictionnelles _ Appui technique et logistique aux OPJ et magistrats,AJ22,ACCES A LA JUSTICE  _  Accès à la Justice - accompagnement judiciaire des victimes _  Appui aux enquetes Prejuridictionnelles,,,,,,,,,,,,,,,,,,,ACCES A LA JUSTICE2,,
,Dépenses opérationnelles,ACCES A LA JUSTICE,Accès à la Justice - accompagnement judiciaire des victimes,Appui à la Tenue des audiences,Tenue des  audiences – Fonarev,AJ,2,3,01,AJ.2.3.01,ACCES A LA JUSTICE _ Accès à la Justice - accompagnement judiciaire des victimes _ Appui à la Tenue des audiences _ Tenue des  audiences – Fonarev,AJ23,ACCES A LA JUSTICE  _  Accès à la Justice - accompagnement judiciaire des victimes _  Appui à la Tenue des audiences,,,,,,,,,,,,,,,,,,,ACCES A LA JUSTICE2,,
,Dépenses opérationnelles,ACCES A LA JUSTICE,Accès à la Justice - accompagnement judiciaire des victimes,Tenue des audiences,Tenue des  audiences – Juridictions,AJ,2,4,01,AJ.2.4.01,ACCES A LA JUSTICE _ Accès à la Justice - accompagnement judiciaire des victimes _ Tenue des audiences _ Tenue des  audiences – Juridictions,AJ24,ACCES A LA JUSTICE  _  Accès à la Justice - accompagnement judiciaire des victimes _  Tenue des audiences,,,,,,,,,,,,,,,,,,,ACCES A LA JUSTICE2,,
,Dépenses opérationnelles,ACCES A LA JUSTICE,Accès à la Justice - accompagnement judiciaire des victimes,Tenue des audiences,Tenue des 5 audiences – Flagrance,AJ,2,4,02,AJ.2.4.02,ACCES A LA JUSTICE _ Accès à la Justice - accompagnement judiciaire des victimes _ Tenue des audiences _ Tenue des 5 audiences – Flagrance,AJ24,ACCES A LA JUSTICE  _  Accès à la Justice - accompagnement judiciaire des victimes _  Tenue des audiences,,,,,,,,,,,,,,,,,,,ACCES A LA JUSTICE2,,
,Dépenses opérationnelles,ACCES A LA JUSTICE,Accès à la Justice - accompagnement judiciaire des victimes,Relance des dossiers dormants,Relance des dossiers en phase pré-juridictionnelle,AJ,2,5,01,AJ.2.5.01,ACCES A LA JUSTICE _ Accès à la Justice - accompagnement judiciaire des victimes _ Relance des dossiers dormants _ Relance des dossiers en phase pré-juridictionnelle,AJ25,ACCES A LA JUSTICE  _  Accès à la Justice - accompagnement judiciaire des victimes _  Relance des dossiers dormants,,,,,,,,,,,,,,,,,,,ACCES A LA JUSTICE2,,
,Dépenses opérationnelles,ACCES A LA JUSTICE,Accès à la Justice - accompagnement judiciaire des victimes,Relance des dossiers dormants,Relance des dossiers en phase juridictionnelle,AJ,2,5,02,AJ.2.5.02,ACCES A LA JUSTICE _ Accès à la Justice - accompagnement judiciaire des victimes _ Relance des dossiers dormants _ Relance des dossiers en phase juridictionnelle,AJ25,ACCES A LA JUSTICE  _  Accès à la Justice - accompagnement judiciaire des victimes _  Relance des dossiers dormants,,,,,,,,,,,,,,,,,,,ACCES A LA JUSTICE2,,
,Dépenses opérationnelles,ACCES A LA JUSTICE,Appui à la réparation,Obtention de jugements supplétifs des enfants nées de conflits,"Séance de travail avec les victimes, les parents et tuteurs des victimes",AJ,3,1,01,AJ.3.1.01,"ACCES A LA JUSTICE _ Appui à la réparation _ Obtention de jugements supplétifs des enfants nées de conflits _ Séance de travail avec les victimes, les parents et tuteurs des victimes",AJ31,ACCES A LA JUSTICE  _  Appui à la réparation _  Obtention de jugements supplétifs des enfants nées de conflits,,,,,,,,,,,,,,,,,,,ACCES A LA JUSTICE3,,
,Dépenses opérationnelles,ACCES A LA JUSTICE,Appui à la réparation,Obtention des autres documents administratif et legaux,"Séance de travail greffe, etat civil et autres",AJ,3,2,01,AJ.3.2.01,"ACCES A LA JUSTICE _ Appui à la réparation _ Obtention des autres documents administratif et legaux _ Séance de travail greffe, etat civil et autres",AJ32,ACCES A LA JUSTICE  _  Appui à la réparation _  Obtention des autres documents administratif et legaux,,,,,,,,,,,,,,,,,,,ACCES A LA JUSTICE3,,
,Dépenses opérationnelles,ACCES A LA JUSTICE,Appui à la réparation,Obtention de jugements supplétifs des enfants nées de conflits,Séance de travail avec le greffe,AJ,3,3,01,AJ.3.3.01,ACCES A LA JUSTICE _ Appui à la réparation _ Obtention de jugements supplétifs des enfants nées de conflits _ Séance de travail avec le greffe,AJ33,ACCES A LA JUSTICE  _  Appui à la réparation _  Obtention de jugements supplétifs des enfants nées de conflits,,,,,,,,,,,,,,,,,,,ACCES A LA JUSTICE3,,
,Dépenses opérationnelles,ACCES A LA JUSTICE,Appui à l’identification,Appui à l’identification,Appui à l’homologation de la LUC,AJ,4,1,01,AJ.4.1.01,ACCES A LA JUSTICE _ Appui à l’identification _ Appui à l’identification _ Appui à l’homologation de la LUC,AJ41,ACCES A LA JUSTICE  _  Appui à l’identification _  Appui à l’identification,,,,,,,,,,,,,,,,,,,ACCES A LA JUSTICE4,,
,Dépenses opérationnelles,ACCES A LA JUSTICE,Appui à l’identification,Appui à l’identification,Collecte des décisions de justice,AJ,4,1,02,AJ.4.1.02,ACCES A LA JUSTICE _ Appui à l’identification _ Appui à l’identification _ Collecte des décisions de justice,AJ41,ACCES A LA JUSTICE  _  Appui à l’identification _  Appui à l’identification,,,,,,,,,,,,,,,,,,,ACCES A LA JUSTICE4,,
,Dépenses opérationnelles,ACCES A LA JUSTICE,Appui à l’identification,Appui à l’identification,"Obtention des jugements supplétifs de confirmation (noms, tutelles, liquidateurs) pour les victimes détentrices de décisions de justice",AJ,4,1,03,AJ.4.1.03,"ACCES A LA JUSTICE _ Appui à l’identification _ Appui à l’identification _ Obtention des jugements supplétifs de confirmation (noms, tutelles, liquidateurs) pour les victimes détentrices de décisions de justice",AJ41,ACCES A LA JUSTICE  _  Appui à l’identification _  Appui à l’identification,,,,,,,,,,,,,,,,,,,ACCES A LA JUSTICE4,,
,Dépenses opérationnelles,ACCES A LA JUSTICE,Appui à l’identification,Appui à l’identification,Appui à la formalisation de l’écosystème,AJ,4,1,04,AJ.4.1.04,ACCES A LA JUSTICE _ Appui à l’identification _ Appui à l’identification _ Appui à la formalisation de l’écosystème,AJ41,ACCES A LA JUSTICE  _  Appui à l’identification _  Appui à l’identification,,,,,,,,,,,,,,,,,,,ACCES A LA JUSTICE4,,
,Dépenses opérationnelles,ACCES A LA JUSTICE,Aide aux recouvremement,Tenue des séances d’information avec les victimes,Entretien avec les victimes,AJ,5,1,01,AJ.5.1.01,ACCES A LA JUSTICE _ Aide aux recouvremement _ Tenue des séances d’information avec les victimes _ Entretien avec les victimes,AJ51,ACCES A LA JUSTICE  _  Aide aux recouvremement _  Tenue des séances d’information avec les victimes,,,,,,,,,,,,,,,,,,,ACCES A LA JUSTICE5,,
,Dépenses opérationnelles,ACCES A LA JUSTICE,Aide aux recouvremement,Identification des patrimoines des bourreaux,Collecte de renseignements sur l’identification du patrimoine des bourreaux,AJ,5,2,01,AJ.5.2.01,ACCES A LA JUSTICE _ Aide aux recouvremement _ Identification des patrimoines des bourreaux _ Collecte de renseignements sur l’identification du patrimoine des bourreaux,AJ52,ACCES A LA JUSTICE  _  Aide aux recouvremement _  Identification des patrimoines des bourreaux,,,,,,,,,,,,,,,,,,,ACCES A LA JUSTICE5,,
,Dépenses opérationnelles,ACCES A LA JUSTICE,Aide aux recouvremement,Recouvrement,"Constitution, enrolement des dossiers et consultations des greffiers d'exécution ou huissiers de justice",AJ,5,3,01,AJ.5.3.01,"ACCES A LA JUSTICE _ Aide aux recouvremement _ Recouvrement _ Constitution, enrolement des dossiers et consultations des greffiers d'exécution ou huissiers de justice",AJ53,ACCES A LA JUSTICE  _  Aide aux recouvremement _  Recouvrement,,,,,,,,,,,,,,,,,,,ACCES A LA JUSTICE5,,
,Dépenses opérationnelles,ACCES A LA JUSTICE,Aide aux recouvremement,Recouvrement,Élaboration du manuel des procédures de recouvrement,AJ,5,3,02,AJ.5.3.02,ACCES A LA JUSTICE _ Aide aux recouvremement _ Recouvrement _ Élaboration du manuel des procédures de recouvrement,AJ53,ACCES A LA JUSTICE  _  Aide aux recouvremement _  Recouvrement,,,,,,,,,,,,,,,,,,,ACCES A LA JUSTICE5,,
,Dépenses opérationnelles,ACCES A LA JUSTICE,Aide aux recouvremement,Recouvrement,Élaboration du manuel des procédures de recouvrement,AJ,5,3,02,AJ.5.3.02,ACCES A LA JUSTICE _ Aide aux recouvremement _ Recouvrement _ Élaboration du manuel des procédures de recouvrement,AJ53,ACCES A LA JUSTICE  _  Aide aux recouvremement _  Recouvrement,,,,,,,,,,,,,,,,,,,ACCES A LA JUSTICE5,,
,Dépenses opérationnelles,ACCES A LA JUSTICE,Suivi des activités,Suivi des activités - Accès au droit,Suivi des activités - Accès au droit,AJ,6,1,01,AJ.6.1.01,ACCES A LA JUSTICE _ Suivi des activités _ Suivi des activités - Accès au droit _ Suivi des activités - Accès au droit,AJ61,ACCES A LA JUSTICE  _  Suivi des activités _  Suivi des activités - Accès au droit,,,,,,,,,,,,,,,,,,,ACCES A LA JUSTICE6,,
,Dépenses opérationnelles,ACCES A LA JUSTICE,Suivi des activités,Suivi des activités - Accès à la Justice,Suivi des activités - Accès à la Justice,AJ,6,2,01,AJ.6.2.01,ACCES A LA JUSTICE _ Suivi des activités _ Suivi des activités - Accès à la Justice _ Suivi des activités - Accès à la Justice,AJ62,ACCES A LA JUSTICE  _  Suivi des activités _  Suivi des activités - Accès à la Justice,,,,,,,,,,,,,,,,,,,ACCES A LA JUSTICE6,,
,Dépenses opérationnelles,ACCES A LA JUSTICE,Suivi des activités,Suivi des activités - Aide aux recouvremement,Suivi des activités - Aide aux recouvremement,AJ,6,3,01,AJ.6.3.01,ACCES A LA JUSTICE _ Suivi des activités _ Suivi des activités - Aide aux recouvremement _ Suivi des activités - Aide aux recouvremement,AJ63,ACCES A LA JUSTICE  _  Suivi des activités _  Suivi des activités - Aide aux recouvremement,,,,,,,,,,,,,,,,,,,ACCES A LA JUSTICE6,,
,Dépenses opérationnelles,ACCES A LA JUSTICE,Renforcement de capacité,Renforcement de capacité agents fonarev,Renforcement de capacité agents fonarev,AJ,7,1,01,AJ.7.1.01,ACCES A LA JUSTICE _ Renforcement de capacité _ Renforcement de capacité agents fonarev _ Renforcement de capacité agents fonarev,AJ71,ACCES A LA JUSTICE  _  Renforcement de capacité _  Renforcement de capacité agents fonarev,,,,,,,,,,,,,,,,,,,ACCES A LA JUSTICE7,,
,Dépenses opérationnelles,ACCES A LA JUSTICE,Renforcement de capacité,Partage d'expérience,Partage d'expérience,AJ,7,2,01,AJ.7.2.01,ACCES A LA JUSTICE _ Renforcement de capacité _ Partage d'expérience _ Partage d'expérience,AJ72,ACCES A LA JUSTICE  _  Renforcement de capacité _  Partage d'expérience,,,,,,,,,,,,,,,,,,,ACCES A LA JUSTICE7,,
,Dépenses opérationnelles,ACCES A LA JUSTICE,Accompagnement de la Task Force Jutice Internationale,,Accompagnement de la Task Force Jutice Internationale,AJ,8,1,01,AJ.8.1.01,ACCES A LA JUSTICE _ Accompagnement de la Task Force Jutice Internationale _  _ Accompagnement de la Task Force Jutice Internationale,AJ81,ACCES A LA JUSTICE  _  Accompagnement de la Task Force Jutice Internationale _  ,,,,,,,,,,,,,,,,,,,ACCES A LA JUSTICE8,,
,Dépenses de personnel,REPARATION,Renumeration,Renumeration,Renumeration,RE,0,0,01,RE.0.0.01,REPARATION _ Renumeration _ Renumeration _ Renumeration,RE00,REPARATION  _  Renumeration _  Renumeration,,,,,,,,,,,,,,,,,,,REPARATION0,,
,Dépenses opérationnelles,REPARATION,Réparations individuelles-RSE Lancer les réparations pour victimes inscrites dans la LUC,Mise en œuvre du programme de réparation administrative et intégrale,Activités préliminaires / Mission exploratoire,RE,1,1,01,RE.1.1.01,REPARATION _ Réparations individuelles-RSE Lancer les réparations pour victimes inscrites dans la LUC _ Mise en œuvre du programme de réparation administrative et intégrale _ Activités préliminaires / Mission exploratoire,RE11,REPARATION  _  Réparations individuelles-RSE Lancer les réparations pour victimes inscrites dans la LUC _  Mise en œuvre du programme de réparation administrative et intégrale,,,,,,,,,,,,,,,,,,,REPARATION1,,
,Dépenses opérationnelles,REPARATION,Réparations individuelles-RSE Lancer les réparations pour victimes inscrites dans la LUC,Mise en œuvre du programme de réparation administrative et intégrale,Activités préliminaires / Session de travail avec les partenaires,RE,1,1,02,RE.1.1.02,REPARATION _ Réparations individuelles-RSE Lancer les réparations pour victimes inscrites dans la LUC _ Mise en œuvre du programme de réparation administrative et intégrale _ Activités préliminaires / Session de travail avec les partenaires,RE11,REPARATION  _  Réparations individuelles-RSE Lancer les réparations pour victimes inscrites dans la LUC _  Mise en œuvre du programme de réparation administrative et intégrale,,,,,,,,,,,,,,,,,,,REPARATION1,,
,Dépenses opérationnelles,REPARATION,Réparations individuelles-RSE Lancer les réparations pour victimes inscrites dans la LUC,Mise en œuvre du programme de réparation administrative et intégrale,Activités préliminaires / Signature des contrats de financement,RE,1,1,03,RE.1.1.03,REPARATION _ Réparations individuelles-RSE Lancer les réparations pour victimes inscrites dans la LUC _ Mise en œuvre du programme de réparation administrative et intégrale _ Activités préliminaires / Signature des contrats de financement,RE11,REPARATION  _  Réparations individuelles-RSE Lancer les réparations pour victimes inscrites dans la LUC _  Mise en œuvre du programme de réparation administrative et intégrale,,,,,,,,,,,,,,,,,,,REPARATION1,,
,Dépenses opérationnelles,REPARATION,Réparations individuelles-RSE Lancer les réparations pour victimes inscrites dans la LUC,Mise en œuvre du programme de réparation administrative et intégrale,Activités préliminaires / Cérémonie de lancement de projet,RE,1,1,04,RE.1.1.04,REPARATION _ Réparations individuelles-RSE Lancer les réparations pour victimes inscrites dans la LUC _ Mise en œuvre du programme de réparation administrative et intégrale _ Activités préliminaires / Cérémonie de lancement de projet,RE11,REPARATION  _  Réparations individuelles-RSE Lancer les réparations pour victimes inscrites dans la LUC _  Mise en œuvre du programme de réparation administrative et intégrale,,,,,,,,,,,,,,,,,,,REPARATION1,,
,Dépenses opérationnelles,REPARATION,Réparations individuelles-RSE Lancer les réparations pour victimes inscrites dans la LUC,Mise en œuvre du programme de réparation administrative et intégrale,Prise en charge médicale,RE,1,1,05,RE.1.1.05,REPARATION _ Réparations individuelles-RSE Lancer les réparations pour victimes inscrites dans la LUC _ Mise en œuvre du programme de réparation administrative et intégrale _ Prise en charge médicale,RE11,REPARATION  _  Réparations individuelles-RSE Lancer les réparations pour victimes inscrites dans la LUC _  Mise en œuvre du programme de réparation administrative et intégrale,,,,,,,,,,,,,,,,,,,REPARATION1,,
,Dépenses opérationnelles,REPARATION,Réparations individuelles-RSE Lancer les réparations pour victimes inscrites dans la LUC,Mise en œuvre du programme de réparation administrative et intégrale,Prise en charge psychologique,RE,1,1,06,RE.1.1.06,REPARATION _ Réparations individuelles-RSE Lancer les réparations pour victimes inscrites dans la LUC _ Mise en œuvre du programme de réparation administrative et intégrale _ Prise en charge psychologique,RE11,REPARATION  _  Réparations individuelles-RSE Lancer les réparations pour victimes inscrites dans la LUC _  Mise en œuvre du programme de réparation administrative et intégrale,,,,,,,,,,,,,,,,,,,REPARATION1,,
,Dépenses opérationnelles,REPARATION,Réparations individuelles-RSE Lancer les réparations pour victimes inscrites dans la LUC,Mise en œuvre du programme de réparation administrative et intégrale,Prise en charge économique,RE,1,1,07,RE.1.1.07,REPARATION _ Réparations individuelles-RSE Lancer les réparations pour victimes inscrites dans la LUC _ Mise en œuvre du programme de réparation administrative et intégrale _ Prise en charge économique,RE11,REPARATION  _  Réparations individuelles-RSE Lancer les réparations pour victimes inscrites dans la LUC _  Mise en œuvre du programme de réparation administrative et intégrale,,,,,,,,,,,,,,,,,,,REPARATION1,,
